Order ID,Product,Quantity Ordered,Price Each,Order Date
151161,MacBook Neo,1,599,04/09/26 13:59
142405,Sony WF-1000XM6,1,299,01/23/26 17:55
140748,Sony WH-1000XM6,1,459,01/09/26 12:55
126136,Galaxy S26 Ultra,1,1299,09/10/25 12:56
148698,Sony WF-1000XM6,1,299,03/19/26 20:27
129677,Galaxy S26+,1,1299,10/10/25 05:44
135199,MacBook Neo,3,599,11/25/25 06:32
106559,Sony WF-1000XM6,1,299,03/27/25 01:07
138555,MacBook Neo,1,599,12/22/25 17:30
146124,iPhone 17 Pro Max,1,1299,02/25/26 06:52
139848,Sony WF-1000XM6,2,299,01/01/26 06:03
118776,BRAVIA 3 II 65,1,899,07/09/25 00:38
104640,BRAVIA XR8B 65,1,1299,03/10/25 02:08
139258,BRAVIA XR8B 65,1,1299,12/27/25 00:53
139635,Sony WF-1000XM6,1,299,12/30/25 05:11
151955,Sony WH-1000XM6,2,459,04/15/26 17:04
138502,Galaxy S26 Ultra,1,1299,12/21/25 14:38
101078,MacBook Neo,2,599,02/07/25 21:42
135191,iPhone 17 Pro Max,1,1299,11/25/25 15:58
110703,Sony WH-1000XM6,1,459,05/02/25 15:38
117575,Sony WF-1000XM6,1,299,06/29/25 07:09
149001,MacBook Pro 16 Inch,1,2699,03/22/26 01:01
144634,Sony WH-1000XM6,1,459,02/12/26 09:16
106475,Galaxy S26+,1,1299,03/26/25 20:47
102363,Galaxy S26+,1,1299,02/18/25 14:30
134175,Galaxy S26 Ultra,1,1299,11/16/25 00:34
133490,iMac,1,1699,11/11/25 23:34
117572,Sony WF-1000XM6,2,299,06/29/25 17:40
144845,MacBook Neo,1,599,02/14/26 02:28
110660,iPhone 17 Pro Max,1,1299,05/02/25 06:31
128373,Sony WF-1000XM6,1,299,09/29/25 18:23
133176,Sony WF-1000XM6,1,299,11/08/25 16:06
144774,Sony WF-1000XM6,1,299,02/13/26 18:58
100962,Sony WH-1000XM6,3,459,02/06/25 21:18
118945,Sony WF-1000XM6,1,299,07/11/25 09:14
107523,Sony WH-1000XM6,1,459,04/04/25 11:53
126370,iPhone 17 Pro Max,1,1299,09/13/25 11:15
139859,Sony WF-1000XM6,1,299,01/01/26 19:15
137320,Galaxy S26 Ultra,1,1299,12/12/25 22:05
108090,Sony WH-1000XM6,1,459,04/09/25 16:15
149375,Sony WH-1000XM6,1,459,03/25/26 04:50
131181,BRAVIA 3 II 65,1,899,10/22/25 16:45
128934,Sony WH-1000XM6,1,459,10/04/25 00:10
109689,Sony WH-1000XM6,1,459,04/23/25 13:03
138430,MacBook Air 15 Inch,1,1299,12/21/25 18:52
127430,Sony WF-1000XM6,1,299,09/21/25 08:36
125884,Sony WF-1000XM6,1,299,09/08/25 17:12
112598,Sony WF-1000XM6,1,299,05/18/25 01:04
148084,Sony WF-1000XM6,1,299,03/14/26 22:02
149110,Galaxy S26+,1,1299,03/22/26 06:22
139989,Galaxy S26 Ultra,1,1299,01/02/26 00:21
130329,BRAVIA 3 II 65,1,899,10/15/25 08:27
116270,Sony WH-1000XM6,1,459,06/18/25 19:46
149148,MacBook Neo,1,599,03/23/26 07:08
122381,BRAVIA XR 65,1,3499,08/09/25 19:12
146877,iPhone 17 Pro Max,1,1299,03/04/26 14:24
107798,BRAVIA XR 77,1,4499,04/06/25 18:38
144808,Galaxy S26 Ultra,1,1299,02/13/26 18:55
125853,MacBook Neo,3,599,09/08/25 10:29
125241,iMac,1,1699,09/03/25 11:31
120677,Sony WH-1000XM6,1,459,07/26/25 05:20
117725,BRAVIA XR 77,1,4499,06/30/25 07:55
129146,MacBook Neo,1,599,10/06/25 03:45
117795,Sony WH-1000XM6,1,459,07/01/25 19:39
149019,MacBook Neo,1,599,03/22/26 13:49
124384,Sony WH-1000XM6,2,459,08/26/25 07:44
128228,MacBook Neo,1,599,09/28/25 14:03
109954,Sony WF-1000XM6,3,299,04/25/25 00:15
128771,iPhone 17 Pro Max,1,1299,10/03/25 15:05
143766,BRAVIA XR8B 65,1,1299,02/04/26 23:02
127076,Galaxy S26+,1,1299,09/18/25 11:14
108263,Galaxy Z Fold7,1,1999,04/10/25 08:13
147310,Alpha 7R V ,1,3299,03/07/26 21:18
117085,Sony WF-1000XM6,1,299,06/25/25 02:54
134055,Galaxy S26 Ultra,1,1299,11/15/25 14:18
135437,MacBook Neo,1,599,11/27/25 17:28
104927,Sony WH-1000XM6,4,459,03/13/25 12:33
144128,Galaxy S26 Ultra,1,1299,02/07/26 12:44
146320,Galaxy S26+,1,1299,02/26/26 20:19
106955,Sony WF-1000XM6,1,299,03/30/25 01:12
138646,Galaxy S26+,1,1299,12/22/25 08:21
118761,Galaxy S26 Ultra,1,1299,07/09/25 02:56
151692,MacBook Neo,1,599,04/13/26 07:44
119418,Sony WF-1000XM6,1,299,07/15/25 11:32
104790,MacBook Neo,1,599,03/12/25 10:30
149757,Sony WF-1000XM6,1,299,03/28/26 12:14
124576,MacBook Neo,1,599,08/28/25 15:03
120214,Sony WF-1000XM6,4,299,07/22/25 16:24
148123,Galaxy S26 Ultra,1,1299,03/14/26 16:40
146223,BRAVIA 3 II 65,1,899,02/25/26 14:10
152517,Sony WF-1000XM6,1,299,04/20/26 23:15
